year,spei
1901,0.25756362080574036
1902,0.001905292272567749
1903,0.505492627620697
1904,-0.06674781441688538
1905,-0.16814033687114716
1906,0.4589524269104004
1907,-0.08130168169736862
1908,-0.05187823250889778
1909,0.14486294984817505
1910,0.03008410893380642
1911,-0.13615566492080688
1912,-0.06474703550338745
1913,0.012271538376808167
1914,0.51211017370224
1915,0.4651602506637573
1916,0.685291588306427
1917,0.5805862545967102
1918,0.0009001418948173523
1919,-0.23351208865642548
1920,-0.22772926092147827
1921,-0.17948973178863525
1922,-0.18790866434574127
1923,0.19423367083072662
1924,-0.15155579149723053
1925,0.41012561321258545
1926,0.5266688466072083
1927,-0.07958213239908218
1928,0.12067389488220215
1929,0.31259000301361084
1930,0.6134350895881653
1931,0.200102761387825
1932,-0.1190783679485321
1933,-0.008674327284097672
1934,-0.1185651645064354
1935,0.21654970943927765
1936,0.31465330719947815
1937,-0.2953168749809265
1938,-0.36917898058891296
1939,-0.3049042522907257
1940,0.10950138419866562
1941,-0.01746269501745701
1942,-0.32202932238578796
1943,-0.21729038655757904
1944,0.1854601353406906
1945,-0.2997477054595947
1946,-0.008080716244876385
1947,0.3327905833721161
1948,0.21698333323001862
1949,0.15076400339603424
1950,-0.1938813179731369
1951,-0.5017010569572449
1952,-0.7605569958686829
1953,-0.649512767791748
1954,-0.8591981530189514
1955,-0.698076069355011
1956,-0.9108285903930664
1957,-0.22320561110973358
1958,0.15244293212890625
1959,-0.11499989777803421
1960,-0.5789373517036438
1961,0.5424866080284119
1962,-0.43717101216316223
1963,0.4536703824996948
1964,0.4614082872867584
1965,-0.45754334330558777
1966,0.4079020321369171
1967,0.14399223029613495
1968,0.010445311665534973
1969,-0.23234568536281586
1970,-0.44329991936683655
1971,-0.2753620445728302
1972,0.3063409626483917
1973,-0.660301148891449
1974,-0.08411847800016403
1975,0.43226513266563416
1976,-0.10733050107955933
1977,0.6753818988800049
1978,0.10824877768754959
1979,-0.38149523735046387
1980,-0.7347319722175598
1981,-0.30426791310310364
1982,0.25499773025512695
1983,0.4673670530319214
1984,-1.0970304012298584
1985,-0.5898496508598328
1986,-0.3856487572193146
1987,-0.37346208095550537
1988,0.32785162329673767
1989,0.1243528500199318
1990,-0.14783571660518646
1991,-0.0865451991558075
1992,0.3186763823032379
1993,-0.07002199441194534
1994,-0.4676867425441742
1995,-0.31296876072883606
1996,0.13568654656410217
1997,0.07413486391305923
1998,0.18890173733234406
1999,-0.901162326335907
2000,-0.05756695941090584
2001,-0.04228458181023598
2002,-0.15521176159381866
2003,0.0350828655064106
2004,0.2681635916233063
2005,0.4397091567516327
2006,0.32105496525764465
2007,0.13026420772075653
2008,0.23652805387973785
2009,0.12990857660770416
2010,0.27645447850227356
2011,0.2689591348171234
2012,0.2828048765659332
2013,0.11427280306816101
2014,-0.08245082944631577
2015,0.2679872512817383
2016,0.3171084225177765
2017,0.09507119655609131
2018,0.16697324812412262
2019,0.44421377778053284
2020,0.2750203013420105
2021,0.29396960139274597
2022,0.30778732895851135
2023,0.4970719814300537
2024,0.49392402172088623
