year,spei
1901,-0.5672732591629028
1902,-0.14813412725925446
1903,-0.05309006944298744
1904,-0.1153993010520935
1905,-0.15360808372497559
1906,-0.377779483795166
1907,0.026466771960258484
1908,0.0596441812813282
1909,0.3163549602031708
1910,0.056999269872903824
1911,-0.11217036098241806
1912,-0.10860826820135117
1913,0.1069592535495758
1914,0.04467008635401726
1915,-0.24730968475341797
1916,0.9958243370056152
1917,0.32888442277908325
1918,0.11476224660873413
1919,-0.35491839051246643
1920,0.8446854948997498
1921,0.17248749732971191
1922,0.07944508641958237
1923,0.11552447080612183
1924,0.029474198818206787
1925,0.3889785706996918
1926,0.020179972052574158
1927,-0.6152991056442261
1928,-0.26500067114830017
1929,0.47267842292785645
1930,-0.27182769775390625
1931,-0.28352102637290955
1932,0.41554179787635803
1933,-0.15121810138225555
1934,0.12402018904685974
1935,0.24950186908245087
1936,-0.10200800746679306
1937,0.14273306727409363
1938,-0.1308111995458603
1939,-0.5419020056724548
1940,-0.4638477563858032
1941,-0.2545665204524994
1942,0.3354288339614868
1943,0.3136756718158722
1944,0.06651528179645538
1945,0.34131836891174316
1946,0.22918258607387543
1947,-0.18024969100952148
1948,0.4200335443019867
1949,0.42758670449256897
1950,0.40976062417030334
1951,0.22177724540233612
1952,-0.39726686477661133
1953,0.12560804188251495
1954,0.009245012886822224
1955,0.02979125641286373
1956,-0.13183492422103882
1957,0.05932421609759331
1958,7.477402687072754e-05
1959,0.6719109416007996
1960,-0.032567817717790604
1961,0.5061859488487244
1962,-0.13603845238685608
1963,-0.019678980112075806
1964,0.7024852633476257
1965,-0.0740666314959526
1966,-0.13031399250030518
1967,0.42684829235076904
1968,-0.0669364258646965
1969,-0.25967153906822205
1970,-0.0900457575917244
1971,0.023504549637436867
1972,0.15228836238384247
1973,-0.055506493896245956
1974,-0.06251747161149979
1975,0.558654248714447
1976,0.4326842129230499
1977,0.6768602728843689
1978,-0.04355792701244354
1979,-0.08633065968751907
1980,0.27581992745399475
1981,-0.27987948060035706
1982,-0.32419198751449585
1983,0.12798582017421722
1984,-0.6498520374298096
1985,0.006486235652118921
1986,-0.24552549421787262
1987,0.059944603592157364
1988,-0.06453097611665726
1989,0.2867715060710907
1990,-0.8759055137634277
1991,0.3997021019458771
1992,0.5569440722465515
1993,0.576286792755127
1994,-0.027881762012839317
1995,0.04141513630747795
1996,-0.03881888464093208
1997,0.11206973344087601
1998,-0.14561842381954193
1999,-0.463466078042984
2000,-0.004958944860845804
2001,0.006730934139341116
2002,-0.5205287933349609
2003,-0.2887859642505646
2004,-0.5444826483726501
2005,-0.21755097806453705
2006,-0.21239380538463593
2007,-0.21304075419902802
2008,-0.11868572235107422
2009,-0.7748939394950867
2010,-0.22305966913700104
2011,-0.4952962398529053
2012,-0.42250847816467285
2013,-0.8178455233573914
2014,0.42320358753204346
2015,-0.49415454268455505
2016,-0.2249445766210556
2017,-0.3218337595462799
2018,0.3241681158542633
2019,0.14370417594909668
2020,0.2732658088207245
2021,0.41581228375434875
2022,0.3260059058666229
2023,0.033358410000801086
2024,-0.0735466405749321
